,player_code,first_name,web_name,second_name,player_name,position_id,position,team,selected,season_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,expected_fpl_minutes,expected_fpl_cleansheet_eligible,expected_goals,expected_assists,expected_goals_conceded,xbonus,expected_fpl_points,fpl_points_over_expected
48,49.0,Tim,Iroegbunam,Iroegbunam,Tim Iroegbunam,3.0,MID,Aston Villa,64181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,50.0,Diego Carlos,Diego Carlos,Santos Silva,Diego Carlos Santos Silva,2.0,DEF,Aston Villa,820438.0,3.0,180.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.36000000000000004,0.02,1.92,1.0,7.220000000000001,4.22
50,51.0,Anwar,El Ghazi,El Ghazi,Anwar El Ghazi,3.0,MID,Aston Villa,132698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,52.0,Keinan,Davis,Davis,Keinan Davis,4.0,FWD,Aston Villa,143233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,53.0,Boubacar,Kamara,Kamara,Boubacar Kamara,3.0,MID,Aston Villa,323722.0,38.0,1521.0,0.0,1.0,3.0,27.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1510.0,2.0,0.15,0.89,28.38,0.0,40.42,2.42
53,54.0,Cameron,Archer,Archer,Cameron Archer,4.0,FWD,Aston Villa,9477672.0,6.0,43.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.01,0.37,0.0,5.03,-0.97
54,55.0,Jaden,Philogene-Bidace,Philogene-Bidace,Jaden Philogene-Bidace,3.0,MID,Aston Villa,7439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,56.0,Frédéric,Guilbert,Guilbert,Frédéric Guilbert,2.0,DEF,Aston Villa,2240198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,57.0,Adam,Smith,Smith,Adam Smith,2.0,DEF,Bournemouth,532611.0,57.0,2200.0,0.0,1.0,6.0,45.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,2205.0,0.0,0.46,1.04,42.01,0.0,38.88,-18.12
57,58.0,Junior,Stanislas,Stanislas,Junior Stanislas,3.0,MID,Bournemouth,89373.0,4.0,58.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.04,0.18,0.6900000000000001,0.0,2.74,-1.26
58,59.0,Ryan,Fredericks,Fredericks,Ryan Fredericks,2.0,DEF,Bournemouth,73749.0,12.0,527.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,525.0,0.0,0.0,0.29,10.14,0.0,15.870000000000001,3.87
59,60.0,David,Brooks,Brooks,David Brooks,3.0,MID,Bournemouth,40889.0,1.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.57,0.0,1.0,0.0
60,61.0,Jamal,Lowe,Lowe,Jamal Lowe,3.0,MID,Bournemouth,83402.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.01,0.62,0.0,1.03,-0.97
61,62.0,Kieffer,Moore,Moore,Kieffer Moore,4.0,FWD,Bournemouth,2815069.0,52.0,1114.0,4.0,0.0,3.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1105.0,1.0,3.1500000000000004,0.44,22.63,9.0,50.92,-1.0799999999999996
62,63.0,Emiliano,Marcondes,Marcondes,Emiliano Marcondes,3.0,MID,Bournemouth,49460.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.28,0.0,1.0,0.0
63,64.0,Jefferson,Lerma,Lerma Solís,Jefferson Lerma Solís,3.0,MID,Bournemouth,1620420.0,67.0,2278.0,3.0,0.0,5.0,50.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,2275.0,0.0,1.61,1.23,44.49,4.0,66.74,-0.26
